date_id,date,day,month,year,ALL
0,11/1/2018,11,1,2018,ALL
1,17/5/2010,17,5,2010,ALL
2,26/3/2015,26,3,2015,ALL
3,26/4/2010,26,4,2010,ALL
4,12/8/2017,12,8,2017,ALL
5,6/11/2017,6,11,2017,ALL
6,6/1/2019,6,1,2019,ALL
7,18/10/2017,18,10,2017,ALL
8,3/10/2017,3,10,2017,ALL
9,10/1/2016,10,1,2016,ALL
10,20/5/2019,20,5,2019,ALL
11,20/10/2013,20,10,2013,ALL
12,13/1/2017,13,1,2017,ALL
13,24/7/2010,24,7,2010,ALL
14,4/9/2019,4,9,2019,ALL
15,25/3/2016,25,3,2016,ALL
16,21/2/2013,21,2,2013,ALL
17,8/9/2014,8,9,2014,ALL
18,12/11/2014,12,11,2014,ALL
19,2/8/2015,2,8,2015,ALL
20,2/9/2011,2,9,2011,ALL
21,18/11/2010,18,11,2010,ALL
22,14/5/2013,14,5,2013,ALL
23,14/4/2018,14,4,2018,ALL
24,5/9/2015,5,9,2015,ALL
25,12/10/2017,12,10,2017,ALL
26,15/3/2011,15,3,2011,ALL
27,8/1/2014,8,1,2014,ALL
28,20/8/2012,20,8,2012,ALL
29,24/4/2019,24,4,2019,ALL
30,8/8/2018,8,8,2018,ALL
31,9/1/2017,9,1,2017,ALL
32,22/1/2014,22,1,2014,ALL
33,25/7/2011,25,7,2011,ALL
34,9/7/2018,9,7,2018,ALL
35,14/6/2010,14,6,2010,ALL
36,20/9/2015,20,9,2015,ALL
37,25/9/2016,25,9,2016,ALL
38,13/4/2017,13,4,2017,ALL
39,23/4/2010,23,4,2010,ALL
40,21/6/2019,21,6,2019,ALL
41,6/3/2015,6,3,2015,ALL
42,10/3/2010,10,3,2010,ALL
43,18/2/2016,18,2,2016,ALL
44,12/8/2019,12,8,2019,ALL
45,19/2/2014,19,2,2014,ALL
46,8/6/2017,8,6,2017,ALL
47,22/5/2014,22,5,2014,ALL
48,26/5/2012,26,5,2012,ALL
49,21/5/2010,21,5,2010,ALL
50,26/1/2015,26,1,2015,ALL
51,8/7/2019,8,7,2019,ALL
52,24/8/2019,24,8,2019,ALL
53,19/3/2019,19,3,2019,ALL
54,17/3/2012,17,3,2012,ALL
55,23/10/2015,23,10,2015,ALL
56,15/7/2010,15,7,2010,ALL
57,24/10/2011,24,10,2011,ALL
58,18/4/2018,18,4,2018,ALL
59,2/8/2014,2,8,2014,ALL
60,16/10/2012,16,10,2012,ALL
61,10/8/2012,10,8,2012,ALL
62,19/8/2012,19,8,2012,ALL
63,20/4/2011,20,4,2011,ALL
64,17/6/2017,17,6,2017,ALL
65,16/11/2019,16,11,2019,ALL
66,8/1/2010,8,1,2010,ALL
67,4/3/2011,4,3,2011,ALL
68,2/2/2010,2,2,2010,ALL
69,20/2/2011,20,2,2011,ALL
70,20/11/2015,20,11,2015,ALL
71,21/4/2013,21,4,2013,ALL
72,18/11/2017,18,11,2017,ALL
73,8/2/2010,8,2,2010,ALL
74,6/7/2014,6,7,2014,ALL
75,17/11/2017,17,11,2017,ALL
76,17/11/2014,17,11,2014,ALL
77,5/8/2018,5,8,2018,ALL
78,24/8/2013,24,8,2013,ALL
79,20/2/2019,20,2,2019,ALL
80,10/10/2010,10,10,2010,ALL
81,17/6/2018,17,6,2018,ALL
82,27/7/2019,27,7,2019,ALL
83,12/5/2015,12,5,2015,ALL
84,2/1/2017,2,1,2017,ALL
85,6/10/2018,6,10,2018,ALL
86,23/5/2019,23,5,2019,ALL
87,19/5/2011,19,5,2011,ALL
88,26/7/2018,26,7,2018,ALL
