location_id,city,state,ALL
0,city2,state1,ALL
1,city10,state6,ALL
2,city3,state8,ALL
3,city3,state10,ALL
4,city0,state8,ALL
5,city1,state0,ALL
6,city0,state9,ALL
7,city9,state5,ALL
8,city9,state1,ALL
9,city4,state7,ALL
10,city5,state0,ALL
11,city2,state1,ALL
12,city0,state5,ALL
13,city3,state8,ALL
14,city5,state3,ALL
15,city7,state5,ALL
16,city4,state1,ALL
17,city5,state9,ALL
18,city4,state7,ALL
19,city4,state10,ALL
20,city4,state10,ALL
21,city8,state1,ALL
22,city9,state5,ALL
23,city2,state9,ALL
24,city0,state5,ALL
25,city7,state0,ALL
26,city1,state3,ALL
27,city0,state2,ALL
28,city8,state2,ALL
29,city6,state8,ALL
30,city7,state0,ALL
31,city6,state5,ALL
32,city2,state0,ALL
33,city0,state8,ALL
34,city4,state2,ALL
35,city9,state7,ALL
36,city10,state5,ALL
37,city6,state9,ALL
38,city6,state10,ALL
39,city5,state0,ALL
40,city7,state9,ALL
41,city4,state10,ALL
42,city8,state10,ALL
43,city2,state1,ALL
44,city8,state7,ALL
45,city8,state5,ALL
46,city2,state1,ALL
47,city1,state1,ALL
48,city5,state4,ALL
49,city6,state2,ALL
50,city6,state8,ALL
51,city8,state7,ALL
52,city3,state0,ALL
53,city2,state4,ALL
54,city4,state5,ALL
55,city3,state2,ALL
56,city10,state3,ALL
57,city1,state4,ALL
58,city6,state2,ALL
59,city1,state8,ALL
60,city0,state5,ALL
61,city5,state2,ALL
62,city9,state3,ALL
63,city0,state10,ALL
64,city0,state7,ALL
65,city5,state0,ALL
66,city3,state6,ALL
67,city8,state10,ALL
68,city9,state3,ALL
69,city7,state9,ALL
70,city4,state3,ALL
71,city7,state1,ALL
72,city7,state6,ALL
73,city6,state9,ALL
74,city6,state1,ALL
75,city0,state3,ALL
76,city9,state3,ALL
77,city5,state4,ALL
78,city1,state6,ALL
79,city3,state1,ALL
80,city6,state5,ALL
81,city7,state10,ALL
82,city5,state10,ALL
83,city0,state9,ALL
84,city8,state4,ALL
85,city7,state4,ALL
86,city5,state4,ALL
87,city5,state6,ALL
88,city3,state8,ALL
89,city7,state7,ALL
90,city6,state3,ALL
91,city5,state5,ALL
92,city9,state8,ALL
93,city3,state3,ALL
94,city9,state7,ALL
95,city0,state1,ALL
96,city5,state7,ALL
97,city8,state6,ALL
98,city1,state1,ALL
99,city8,state4,ALL
100,city10,state8,ALL
101,city1,state0,ALL
102,city3,state0,ALL
103,city3,state1,ALL
104,city4,state5,ALL
105,city0,state0,ALL
106,city10,state2,ALL
107,city10,state8,ALL
108,city4,state10,ALL
109,city10,state10,ALL
110,city9,state4,ALL
111,city1,state7,ALL
112,city4,state0,ALL
113,city7,state6,ALL
114,city10,state2,ALL
115,city4,state8,ALL
116,city2,state9,ALL
117,city6,state1,ALL
118,city4,state1,ALL
119,city10,state4,ALL
120,city9,state2,ALL
121,city3,state2,ALL
122,city8,state3,ALL
123,city1,state2,ALL
124,city3,state9,ALL
125,city5,state2,ALL
126,city5,state0,ALL
127,city2,state0,ALL
128,city0,state10,ALL
129,city0,state3,ALL
130,city7,state5,ALL
131,city3,state3,ALL
132,city1,state10,ALL
133,city4,state0,ALL
134,city0,state2,ALL
135,city4,state6,ALL
136,city3,state7,ALL
137,city5,state10,ALL
138,city1,state4,ALL
139,city8,state1,ALL
140,city5,state4,ALL
141,city10,state6,ALL
142,city5,state1,ALL
143,city5,state2,ALL
144,city4,state8,ALL
145,city8,state6,ALL
146,city7,state5,ALL
147,city8,state3,ALL
148,city6,state6,ALL
149,city9,state7,ALL
150,city3,state7,ALL
151,city7,state4,ALL
152,city9,state5,ALL
153,city10,state2,ALL
154,city8,state6,ALL
155,city0,state1,ALL
156,city10,state4,ALL
157,city9,state3,ALL
158,city4,state3,ALL
159,city9,state10,ALL
160,city1,state2,ALL
161,city8,state2,ALL
162,city7,state7,ALL
163,city6,state0,ALL
164,city1,state0,ALL
165,city10,state0,ALL
166,city7,state8,ALL
167,city10,state3,ALL
168,city6,state0,ALL
169,city5,state7,ALL
170,city5,state10,ALL
171,city1,state0,ALL
172,city10,state3,ALL
173,city5,state0,ALL
174,city10,state6,ALL
175,city8,state2,ALL
176,city10,state2,ALL
177,city5,state4,ALL
178,city9,state2,ALL
179,city3,state8,ALL
180,city2,state4,ALL
181,city3,state2,ALL
182,city9,state9,ALL
183,city7,state6,ALL
184,city5,state6,ALL
185,city0,state5,ALL
186,city7,state6,ALL
187,city9,state3,ALL
188,city6,state10,ALL
189,city10,state3,ALL
190,city3,state3,ALL
191,city2,state0,ALL
192,city10,state1,ALL
193,city3,state2,ALL
194,city8,state2,ALL
195,city2,state5,ALL
196,city1,state1,ALL
197,city7,state4,ALL
198,city0,state10,ALL
199,city10,state4,ALL
200,city5,state0,ALL
201,city4,state6,ALL
202,city5,state2,ALL
203,city4,state10,ALL
204,city1,state3,ALL
205,city9,state2,ALL
206,city6,state10,ALL
207,city4,state2,ALL
208,city4,state2,ALL
209,city3,state10,ALL
210,city6,state5,ALL
211,city2,state8,ALL
212,city5,state7,ALL
213,city6,state7,ALL
214,city3,state1,ALL
215,city0,state7,ALL
216,city3,state2,ALL
217,city6,state3,ALL
218,city4,state2,ALL
219,city3,state1,ALL
220,city7,state6,ALL
221,city4,state3,ALL
222,city4,state4,ALL
223,city4,state8,ALL
224,city2,state2,ALL
225,city9,state0,ALL
226,city10,state6,ALL
227,city5,state2,ALL
228,city6,state4,ALL
229,city1,state5,ALL
230,city3,state10,ALL
231,city10,state4,ALL
232,city8,state3,ALL
233,city5,state7,ALL
234,city0,state1,ALL
235,city6,state4,ALL
236,city5,state5,ALL
237,city10,state1,ALL
238,city4,state9,ALL
239,city10,state1,ALL
240,city7,state8,ALL
241,city0,state9,ALL
242,city1,state0,ALL
243,city4,state10,ALL
244,city7,state9,ALL
245,city7,state2,ALL
246,city1,state7,ALL
247,city10,state3,ALL
248,city9,state9,ALL
249,city10,state0,ALL
250,city8,state8,ALL
251,city2,state7,ALL
252,city1,state1,ALL
253,city8,state5,ALL
254,city4,state3,ALL
255,city2,state3,ALL
256,city8,state3,ALL
257,city7,state8,ALL
258,city9,state9,ALL
259,city9,state8,ALL
260,city3,state0,ALL
261,city6,state0,ALL
262,city0,state4,ALL
263,city1,state7,ALL
264,city2,state4,ALL
265,city3,state9,ALL
266,city10,state3,ALL
267,city4,state8,ALL
268,city0,state9,ALL
269,city7,state6,ALL
270,city10,state4,ALL
271,city10,state3,ALL
272,city9,state6,ALL
273,city10,state1,ALL
274,city5,state3,ALL
275,city10,state1,ALL
276,city9,state8,ALL
277,city2,state1,ALL
278,city10,state6,ALL
279,city2,state8,ALL
280,city6,state4,ALL
281,city8,state10,ALL
282,city6,state3,ALL
283,city4,state5,ALL
284,city8,state9,ALL
285,city7,state3,ALL
286,city4,state2,ALL
287,city6,state6,ALL
288,city7,state6,ALL
289,city8,state7,ALL
290,city8,state6,ALL
291,city2,state6,ALL
292,city4,state9,ALL
293,city1,state9,ALL
294,city0,state1,ALL
295,city1,state7,ALL
296,city4,state8,ALL
297,city8,state1,ALL
298,city2,state5,ALL
299,city9,state10,ALL
300,city0,state4,ALL
301,city6,state8,ALL
302,city6,state7,ALL
303,city8,state9,ALL
304,city8,state5,ALL
305,city8,state1,ALL
306,city1,state2,ALL
307,city5,state9,ALL
308,city0,state5,ALL
309,city0,state5,ALL
310,city2,state0,ALL
311,city10,state8,ALL
312,city6,state5,ALL
313,city2,state1,ALL
314,city1,state1,ALL
315,city6,state0,ALL
316,city7,state9,ALL
317,city1,state2,ALL
318,city4,state3,ALL
319,city9,state10,ALL
320,city6,state2,ALL
321,city1,state2,ALL
322,city10,state7,ALL
323,city7,state7,ALL
324,city8,state2,ALL
325,city3,state9,ALL
326,city10,state2,ALL
327,city8,state8,ALL
328,city2,state6,ALL
329,city6,state1,ALL
330,city0,state2,ALL
331,city4,state8,ALL
332,city2,state8,ALL
333,city1,state0,ALL
334,city7,state7,ALL
335,city2,state9,ALL
336,city4,state9,ALL
337,city2,state9,ALL
