product_id,name,price,subcategory,category,ALL
0,product94,9.02,subcategory5,category6,ALL
1,product80,50.81,subcategory3,category6,ALL
2,product9,140.27,subcategory5,category9,ALL
3,product11,243.53,subcategory3,category6,ALL
4,product4,275.29,subcategory1,category9,ALL
5,product72,110.42,subcategory4,category9,ALL
6,product37,18.36,subcategory3,category4,ALL
7,product6,146.65,subcategory2,category10,ALL
8,product34,163.38,subcategory3,category7,ALL
9,product39,111.1,subcategory1,category2,ALL
10,product77,188.28,subcategory3,category7,ALL
11,product69,348.89,subcategory4,category3,ALL
12,product59,173.64,subcategory5,category8,ALL
13,product73,28.56,subcategory1,category1,ALL
14,product45,148.82,subcategory3,category10,ALL
15,product45,137.04,subcategory5,category6,ALL
16,product74,37.72,subcategory1,category1,ALL
17,product79,4.31,subcategory3,category5,ALL
18,product71,15.52,subcategory2,category4,ALL
19,product46,222.43,subcategory4,category1,ALL
20,product85,107.6,subcategory3,category8,ALL
21,product25,129.48,subcategory3,category7,ALL
22,product99,12.01,subcategory4,category7,ALL
23,product14,136.38,subcategory5,category4,ALL
24,product92,22.08,subcategory1,category9,ALL
25,product75,87.87,subcategory4,category9,ALL
26,product25,101.55,subcategory2,category5,ALL
27,product78,129.23,subcategory2,category10,ALL
28,product1,173.36,subcategory2,category6,ALL
29,product22,254.79,subcategory5,category10,ALL
30,product70,134.29,subcategory2,category7,ALL
31,product81,260.14,subcategory1,category9,ALL
32,product24,273.5,subcategory4,category4,ALL
33,product42,229.87,subcategory2,category4,ALL
34,product72,88.58,subcategory2,category2,ALL
35,product38,148.27,subcategory5,category6,ALL
36,product17,165.88,subcategory1,category10,ALL
37,product13,32.23,subcategory2,category8,ALL
38,product4,199.41,subcategory3,category9,ALL
39,product28,328.27,subcategory4,category10,ALL
40,product38,110.02,subcategory2,category4,ALL
41,product65,278.92,subcategory1,category4,ALL
42,product8,18.1,subcategory3,category1,ALL
43,product8,37.95,subcategory1,category2,ALL
44,product59,271.6,subcategory5,category3,ALL
45,product90,470.21,subcategory4,category4,ALL
46,product100,47.41,subcategory4,category9,ALL
47,product57,11.12,subcategory4,category5,ALL
48,product8,78.33,subcategory4,category3,ALL
49,product55,232,subcategory1,category8,ALL
50,product16,196.71,subcategory2,category3,ALL
51,product71,335.95,subcategory2,category9,ALL
52,product76,243.56,subcategory5,category4,ALL
53,product54,156.52,subcategory3,category6,ALL
54,product80,259.84,subcategory5,category4,ALL
55,product49,58.32,subcategory2,category9,ALL
56,product56,208.87,subcategory3,category8,ALL
57,product25,462.87,subcategory3,category4,ALL
58,product65,242.74,subcategory1,category4,ALL
59,product7,48.42,subcategory4,category7,ALL
60,product96,82.8,subcategory5,category4,ALL
61,product98,258.79,subcategory2,category10,ALL
62,product73,155.59,subcategory1,category6,ALL
63,product49,272.4,subcategory1,category5,ALL
64,product26,70,subcategory1,category5,ALL
65,product35,236.39,subcategory5,category10,ALL
66,product98,253.64,subcategory1,category1,ALL
67,product76,225.63,subcategory1,category4,ALL
68,product89,72.97,subcategory2,category8,ALL
69,product26,51.26,subcategory2,category10,ALL
70,product51,469.54,subcategory3,category8,ALL
71,product80,128.44,subcategory5,category4,ALL
72,product57,23.44,subcategory3,category10,ALL
73,product87,65.96,subcategory2,category2,ALL
74,product1,226.66,subcategory4,category10,ALL
75,product73,119.23,subcategory1,category1,ALL
76,product98,82.21,subcategory3,category1,ALL
77,product45,244.84,subcategory5,category10,ALL
78,product24,104.77,subcategory5,category9,ALL
79,product94,205.4,subcategory1,category1,ALL
80,product81,222.66,subcategory5,category2,ALL
81,product99,26.93,subcategory2,category8,ALL
82,product100,101.1,subcategory1,category3,ALL
83,product85,289.75,subcategory1,category8,ALL
84,product88,150.65,subcategory3,category9,ALL
85,product4,372.31,subcategory5,category1,ALL
86,product78,299.97,subcategory4,category1,ALL
87,product56,139.82,subcategory2,category1,ALL
88,product19,114.43,subcategory4,category4,ALL
89,product33,45.22,subcategory4,category7,ALL
90,product100,105.24,subcategory4,category5,ALL
91,product45,215.44,subcategory2,category8,ALL
92,product5,263.32,subcategory1,category8,ALL
93,product82,479.76,subcategory4,category4,ALL
94,product92,269.89,subcategory3,category3,ALL
95,product14,216.28,subcategory5,category1,ALL
96,product54,286.49,subcategory2,category4,ALL
97,product85,204.58,subcategory2,category3,ALL
98,product3,150.97,subcategory4,category4,ALL
99,product45,18.05,subcategory4,category9,ALL
100,product33,217.26,subcategory5,category10,ALL
101,product44,130.19,subcategory4,category1,ALL
102,product31,16.18,subcategory3,category9,ALL
103,product57,213.45,subcategory1,category6,ALL
104,product30,131.41,subcategory1,category4,ALL
105,product21,26.83,subcategory2,category8,ALL
106,product75,19.84,subcategory4,category8,ALL
107,product68,19.02,subcategory3,category2,ALL
108,product96,2.39,subcategory5,category8,ALL
109,product26,286.06,subcategory5,category7,ALL
110,product44,6.56,subcategory1,category8,ALL
111,product61,120.85,subcategory1,category5,ALL
112,product29,269.42,subcategory2,category3,ALL
113,product38,104.21,subcategory4,category8,ALL
114,product51,290.55,subcategory2,category3,ALL
115,product24,351.72,subcategory5,category1,ALL
116,product18,122.78,subcategory3,category8,ALL
117,product64,66.9,subcategory4,category5,ALL
118,product72,49.84,subcategory4,category9,ALL
119,product21,190.04,subcategory5,category3,ALL
120,product72,179.99,subcategory3,category7,ALL
121,product21,236.55,subcategory2,category6,ALL
122,product83,250.73,subcategory3,category7,ALL
123,product24,277.36,subcategory5,category8,ALL
124,product7,362.98,subcategory1,category1,ALL
125,product31,170.06,subcategory5,category2,ALL
126,product84,56.95,subcategory3,category10,ALL
127,product39,410.52,subcategory4,category6,ALL
128,product25,269.3,subcategory1,category1,ALL
129,product46,251.05,subcategory4,category1,ALL
130,product65,74.04,subcategory3,category5,ALL
131,product3,154.54,subcategory3,category3,ALL
132,product44,257.35,subcategory1,category7,ALL
133,product81,197.91,subcategory4,category5,ALL
134,product90,285.64,subcategory5,category6,ALL
135,product76,288.01,subcategory1,category9,ALL
136,product90,99.37,subcategory5,category5,ALL
137,product11,18.4,subcategory2,category5,ALL
138,product73,77.11,subcategory1,category2,ALL
139,product75,202.08,subcategory3,category5,ALL
140,product60,88.27,subcategory3,category2,ALL
141,product94,227.1,subcategory4,category6,ALL
142,product48,274.06,subcategory4,category4,ALL
143,product57,242.38,subcategory1,category2,ALL
144,product91,295.27,subcategory5,category6,ALL
145,product6,42.08,subcategory2,category2,ALL
146,product25,113.06,subcategory5,category8,ALL
147,product13,141.75,subcategory1,category8,ALL
148,product42,98.29,subcategory2,category2,ALL
149,product72,220.59,subcategory5,category2,ALL
150,product5,151.71,subcategory2,category2,ALL
151,product35,104.83,subcategory2,category2,ALL
152,product57,102.64,subcategory2,category4,ALL
153,product93,463.55,subcategory5,category1,ALL
154,product7,291.47,subcategory3,category5,ALL
155,product77,297.83,subcategory2,category2,ALL
156,product59,253.67,subcategory5,category6,ALL
157,product1,72.69,subcategory1,category9,ALL
158,product74,299.57,subcategory4,category2,ALL
159,product33,154.99,subcategory4,category9,ALL
160,product54,209.74,subcategory5,category4,ALL
161,product62,275.52,subcategory1,category1,ALL
162,product35,122.53,subcategory1,category4,ALL
163,product11,61.56,subcategory1,category2,ALL
164,product91,123.67,subcategory3,category3,ALL
165,product42,161.25,subcategory2,category9,ALL
166,product56,43.42,subcategory4,category4,ALL
167,product53,161.35,subcategory5,category4,ALL
168,product86,183.69,subcategory3,category4,ALL
169,product73,156.18,subcategory3,category5,ALL
170,product3,41.09,subcategory4,category6,ALL
171,product28,211.41,subcategory1,category2,ALL
172,product38,163.94,subcategory4,category5,ALL
173,product66,143.52,subcategory4,category6,ALL
174,product84,159.76,subcategory4,category7,ALL
175,product60,27.7,subcategory1,category10,ALL
176,product5,231.13,subcategory2,category4,ALL
177,product2,89.22,subcategory3,category4,ALL
178,product10,264.18,subcategory1,category9,ALL
179,product61,203.72,subcategory5,category5,ALL
180,product26,111.84,subcategory4,category10,ALL
181,product78,213.32,subcategory5,category7,ALL
182,product91,180.45,subcategory4,category1,ALL
183,product98,245.69,subcategory5,category8,ALL
184,product92,64.41,subcategory2,category9,ALL
185,product87,224.98,subcategory2,category1,ALL
186,product100,111.81,subcategory4,category4,ALL
187,product98,45.19,subcategory1,category6,ALL
188,product98,77.1,subcategory4,category6,ALL
189,product48,79.08,subcategory2,category8,ALL
190,product41,260.51,subcategory1,category5,ALL
191,product18,149.13,subcategory4,category5,ALL
192,product46,8.05,subcategory3,category8,ALL
193,product23,58.96,subcategory3,category4,ALL
194,product85,276.55,subcategory3,category8,ALL
195,product76,144.69,subcategory5,category2,ALL
196,product29,261.17,subcategory5,category1,ALL
197,product5,121.48,subcategory5,category5,ALL
198,product64,88.64,subcategory1,category9,ALL
199,product17,263.08,subcategory3,category1,ALL
200,product94,205.16,subcategory3,category6,ALL
201,product24,44.51,subcategory3,category9,ALL
202,product48,148.83,subcategory4,category10,ALL
203,product8,210.18,subcategory4,category2,ALL
204,product3,290.53,subcategory3,category2,ALL
205,product27,30.1,subcategory2,category4,ALL
206,product73,337.82,subcategory3,category1,ALL
207,product93,33.77,subcategory3,category7,ALL
208,product4,258.62,subcategory4,category5,ALL
209,product7,241.5,subcategory3,category2,ALL
210,product73,160.64,subcategory4,category4,ALL
211,product24,97.35,subcategory1,category2,ALL
212,product24,84.12,subcategory3,category6,ALL
213,product30,115.52,subcategory5,category9,ALL
214,product98,61.28,subcategory5,category2,ALL
215,product72,285.61,subcategory2,category7,ALL
216,product95,209.59,subcategory2,category3,ALL
217,product9,92.14,subcategory5,category2,ALL
218,product51,316.03,subcategory1,category9,ALL
219,product22,193.58,subcategory5,category3,ALL
220,product79,262.18,subcategory1,category8,ALL
221,product8,279,subcategory5,category5,ALL
222,product73,135.12,subcategory3,category7,ALL
223,product39,222.67,subcategory4,category6,ALL
224,product24,298.69,subcategory1,category1,ALL
225,product81,39.64,subcategory2,category1,ALL
226,product70,133.29,subcategory2,category6,ALL
227,product95,16.56,subcategory4,category6,ALL
228,product8,140.16,subcategory4,category1,ALL
229,product47,21.96,subcategory1,category8,ALL
230,product71,194.78,subcategory3,category4,ALL
231,product39,224.35,subcategory3,category4,ALL
232,product58,261.27,subcategory3,category10,ALL
233,product60,260.45,subcategory3,category8,ALL
234,product70,98.79,subcategory1,category5,ALL
235,product44,242.35,subcategory2,category1,ALL
236,product74,117.69,subcategory5,category10,ALL
237,product24,63.38,subcategory3,category5,ALL
238,product51,254.87,subcategory4,category6,ALL
239,product12,112.72,subcategory3,category6,ALL
240,product75,20.03,subcategory1,category3,ALL
241,product70,147.3,subcategory4,category4,ALL
242,product38,222.3,subcategory1,category4,ALL
243,product37,97.99,subcategory5,category1,ALL
244,product3,227.7,subcategory5,category8,ALL
245,product27,298.47,subcategory4,category10,ALL
246,product43,116.17,subcategory1,category9,ALL
247,product64,338.89,subcategory2,category4,ALL
248,product71,252.55,subcategory4,category6,ALL
249,product1,206.11,subcategory3,category2,ALL
250,product85,272.12,subcategory3,category3,ALL
251,product17,100.44,subcategory5,category4,ALL
252,product58,56.45,subcategory4,category5,ALL
253,product27,224.9,subcategory4,category4,ALL
254,product97,220.24,subcategory3,category1,ALL
255,product28,206.06,subcategory3,category8,ALL
256,product3,177.41,subcategory4,category1,ALL
257,product71,121.73,subcategory1,category4,ALL
258,product14,282.09,subcategory1,category8,ALL
259,product39,197.64,subcategory4,category1,ALL
260,product17,129.38,subcategory3,category9,ALL
261,product9,213.47,subcategory3,category3,ALL
262,product43,361.05,subcategory5,category5,ALL
263,product30,222.02,subcategory2,category9,ALL
264,product32,93.39,subcategory5,category1,ALL
265,product31,467.23,subcategory1,category7,ALL
266,product18,100.68,subcategory3,category9,ALL
267,product99,344.93,subcategory5,category4,ALL
268,product77,321.88,subcategory4,category3,ALL
269,product4,266.91,subcategory5,category1,ALL
270,product43,261.29,subcategory5,category8,ALL
271,product57,130.38,subcategory1,category9,ALL
272,product5,291.24,subcategory1,category1,ALL
273,product9,26.91,subcategory5,category9,ALL
274,product93,210.83,subcategory1,category8,ALL
275,product33,54.37,subcategory4,category7,ALL
276,product73,201.95,subcategory4,category5,ALL
277,product82,207.86,subcategory4,category4,ALL
278,product7,469.91,subcategory5,category5,ALL
279,product95,91.03,subcategory2,category7,ALL
280,product93,113.84,subcategory5,category6,ALL
281,product60,43.25,subcategory4,category1,ALL
282,product42,32.79,subcategory4,category9,ALL
283,product56,122.56,subcategory4,category7,ALL
284,product4,65.01,subcategory5,category5,ALL
285,product25,289.05,subcategory3,category1,ALL
286,product73,119.41,subcategory5,category10,ALL
287,product95,374.69,subcategory2,category6,ALL
288,product79,129.48,subcategory4,category9,ALL
289,product32,102.84,subcategory1,category10,ALL
290,product9,178.3,subcategory2,category8,ALL
291,product21,89.35,subcategory1,category3,ALL
292,product7,127.09,subcategory5,category5,ALL
293,product26,122.08,subcategory4,category2,ALL
294,product89,67.41,subcategory4,category4,ALL
295,product77,177.71,subcategory4,category9,ALL
296,product44,46.32,subcategory4,category9,ALL
297,product64,481.41,subcategory3,category9,ALL
298,product69,175.28,subcategory5,category4,ALL
299,product24,42.2,subcategory4,category6,ALL
300,product85,191.18,subcategory1,category6,ALL
301,product74,308.61,subcategory3,category1,ALL
302,product71,247.26,subcategory1,category9,ALL
303,product76,217.94,subcategory4,category8,ALL
304,product83,89.6,subcategory3,category6,ALL
305,product35,26.2,subcategory3,category7,ALL
306,product60,226.23,subcategory4,category3,ALL
307,product57,113.45,subcategory2,category9,ALL
308,product91,138.51,subcategory3,category3,ALL
309,product15,275.72,subcategory5,category3,ALL
310,product27,281.19,subcategory4,category2,ALL
311,product83,342.79,subcategory3,category3,ALL
312,product45,126.67,subcategory5,category8,ALL
313,product98,28.85,subcategory4,category10,ALL
314,product37,155.02,subcategory1,category6,ALL
315,product47,209.15,subcategory2,category10,ALL
316,product36,338.03,subcategory1,category9,ALL
317,product1,114.49,subcategory2,category2,ALL
318,product80,162.83,subcategory4,category4,ALL
319,product16,247.5,subcategory5,category4,ALL
320,product51,68.84,subcategory3,category3,ALL
321,product48,100.05,subcategory1,category1,ALL
322,product42,282.88,subcategory2,category3,ALL
323,product88,48.16,subcategory1,category3,ALL
324,product90,210.49,subcategory1,category5,ALL
325,product81,89.51,subcategory1,category5,ALL
326,product61,245.64,subcategory5,category4,ALL
327,product78,32.22,subcategory2,category7,ALL
328,product38,136.66,subcategory1,category6,ALL
329,product6,17.09,subcategory1,category7,ALL
330,product52,12.86,subcategory5,category4,ALL
331,product38,215.59,subcategory3,category2,ALL
332,product83,281.73,subcategory4,category7,ALL
333,product25,80.39,subcategory4,category9,ALL
334,product61,224.68,subcategory3,category5,ALL
335,product46,333.4,subcategory4,category3,ALL
336,product68,35.76,subcategory5,category4,ALL
337,product90,53.3,subcategory3,category8,ALL
338,product31,460.36,subcategory3,category6,ALL
339,product49,220.94,subcategory5,category2,ALL
340,product57,246.57,subcategory2,category3,ALL
341,product13,338.09,subcategory4,category2,ALL
342,product20,131.85,subcategory3,category8,ALL
343,product90,298.21,subcategory3,category2,ALL
344,product63,246.92,subcategory2,category3,ALL
345,product50,101.61,subcategory4,category8,ALL
346,product80,167.45,subcategory3,category10,ALL
347,product83,166.92,subcategory3,category4,ALL
348,product17,236.99,subcategory1,category1,ALL
349,product44,193.45,subcategory5,category10,ALL
350,product4,341.2,subcategory3,category6,ALL
351,product94,253.69,subcategory1,category3,ALL
352,product99,255.86,subcategory5,category10,ALL
353,product100,221.31,subcategory4,category5,ALL
354,product47,351.56,subcategory2,category1,ALL
355,product82,232.06,subcategory5,category4,ALL
356,product78,82.66,subcategory4,category9,ALL
357,product87,227.36,subcategory5,category4,ALL
358,product71,3.63,subcategory1,category1,ALL
359,product19,114.57,subcategory4,category9,ALL
360,product6,32.22,subcategory4,category7,ALL
361,product41,167.51,subcategory2,category3,ALL
362,product21,242,subcategory2,category4,ALL
363,product45,339.62,subcategory1,category1,ALL
364,product10,252.38,subcategory4,category5,ALL
365,product3,143.69,subcategory4,category9,ALL
366,product34,227.7,subcategory5,category1,ALL
367,product25,113.79,subcategory4,category6,ALL
368,product84,83.16,subcategory2,category4,ALL
369,product93,165.98,subcategory4,category2,ALL
370,product80,196.29,subcategory3,category4,ALL
371,product18,199.03,subcategory2,category4,ALL
372,product99,60.52,subcategory5,category7,ALL
373,product77,200.53,subcategory3,category4,ALL
374,product24,103.36,subcategory1,category1,ALL
375,product47,289.59,subcategory5,category3,ALL
376,product41,56.35,subcategory2,category4,ALL
377,product19,182.49,subcategory1,category2,ALL
378,product34,68.52,subcategory3,category7,ALL
379,product34,3.94,subcategory3,category5,ALL
380,product44,73.08,subcategory5,category6,ALL
381,product16,255.96,subcategory4,category4,ALL
382,product84,248.32,subcategory5,category3,ALL
383,product56,182.94,subcategory4,category4,ALL
384,product21,209.44,subcategory5,category6,ALL
385,product90,265.57,subcategory1,category1,ALL
386,product24,30.72,subcategory4,category2,ALL
