date_id,date,day,month,year
0,17/11/2015,17,11,2015
1,24/4/2016,24,4,2016
2,8/4/2012,8,4,2012
3,23/12/2013,23,12,2013
4,20/4/2012,20,4,2012
5,2/2/2016,2,2,2016
6,9/1/2012,9,1,2012
7,26/10/2017,26,10,2017
8,19/8/2016,19,8,2016
9,19/6/2018,19,6,2018
10,6/9/2014,6,9,2014
11,2/3/2016,2,3,2016
12,27/4/2013,27,4,2013
13,3/4/2015,3,4,2015
14,25/8/2016,25,8,2016
15,10/9/2016,10,9,2016
16,8/5/2011,8,5,2011
17,20/4/2015,20,4,2015
18,7/6/2014,7,6,2014
19,1/2/2015,1,2,2015
20,7/8/2012,7,8,2012
21,12/1/2015,12,1,2015
22,22/11/2012,22,11,2012
23,12/1/2016,12,1,2016
24,8/2/2018,8,2,2018
25,25/10/2018,25,10,2018
26,11/6/2014,11,6,2014
27,2/9/2016,2,9,2016
28,24/1/2012,24,1,2012
29,5/9/2019,5,9,2019
30,2/3/2010,2,3,2010
31,17/5/2012,17,5,2012
32,7/7/2019,7,7,2019
33,20/9/2019,20,9,2019
34,25/1/2011,25,1,2011
35,4/3/2012,4,3,2012
36,1/11/2012,1,11,2012
37,10/9/2013,10,9,2013
38,22/11/2013,22,11,2013
39,9/8/2018,9,8,2018
40,9/3/2013,9,3,2013
41,5/2/2014,5,2,2014
42,27/3/2014,27,3,2014
43,4/11/2016,4,11,2016
44,11/5/2015,11,5,2015
45,11/8/2016,11,8,2016
46,6/9/2018,6,9,2018
47,13/4/2019,13,4,2019
48,23/3/2014,23,3,2014
49,2/4/2018,2,4,2018
50,16/2/2013,16,2,2013
51,15/9/2019,15,9,2019
52,20/8/2010,20,8,2010
53,16/4/2012,16,4,2012
54,9/6/2015,9,6,2015
55,6/7/2017,6,7,2017
56,20/8/2015,20,8,2015
57,24/12/2016,24,12,2016
58,6/6/2014,6,6,2014
59,7/12/2015,7,12,2015
60,13/8/2015,13,8,2015
61,23/2/2019,23,2,2019
62,1/6/2011,1,6,2011
63,23/10/2011,23,10,2011
