location_id,city,state
0,city4,state5
1,city8,state1
2,city2,state6
3,city10,state2
4,city6,state6
5,city2,state0
6,city0,state7
7,city8,state10
8,city4,state4
9,city2,state9
10,city7,state0
11,city5,state10
12,city7,state8
13,city0,state10
14,city7,state7
15,city10,state3
16,city3,state8
17,city10,state9
18,city1,state4
19,city4,state0
20,city4,state2
21,city3,state1
22,city7,state10
23,city7,state8
24,city10,state7
25,city6,state3
26,city5,state7
27,city6,state6
28,city2,state3
29,city5,state8
30,city4,state4
31,city1,state2
32,city8,state9
33,city9,state7
34,city1,state1
35,city9,state5
36,city10,state6
37,city1,state4
38,city10,state2
39,city4,state6
40,city3,state8
41,city1,state10
42,city0,state7
43,city0,state2
44,city3,state8
45,city10,state5
46,city10,state10
47,city5,state4
48,city6,state1
49,city1,state3
50,city2,state9
51,city6,state4
52,city0,state5
53,city0,state5
54,city5,state0
55,city4,state9
56,city3,state7
57,city3,state8
58,city6,state5
59,city6,state2
60,city1,state2
61,city1,state0
62,city10,state5
63,city3,state1
64,city0,state4
65,city10,state0
66,city5,state6
67,city9,state5
68,city7,state4
69,city7,state8
70,city4,state9
71,city8,state5
72,city3,state2
73,city6,state1
74,city0,state7
75,city2,state4
76,city0,state0
77,city4,state1
78,city4,state6
79,city8,state4
80,city7,state7
81,city3,state10
82,city2,state2
83,city1,state10
84,city3,state1
85,city7,state10
86,city0,state10
87,city2,state4
88,city4,state5
89,city8,state0
90,city4,state2
91,city2,state5
92,city5,state4
93,city10,state4
94,city2,state2
95,city2,state4
96,city6,state0
97,city4,state4
98,city2,state10
99,city0,state9
100,city7,state10
101,city9,state10
102,city1,state4
103,city7,state0
104,city7,state5
105,city4,state7
106,city10,state3
107,city9,state2
108,city10,state10
109,city0,state1
110,city6,state8
111,city0,state6
112,city0,state1
113,city2,state5
114,city1,state9
115,city9,state0
116,city2,state10
117,city8,state10
118,city2,state9
119,city0,state1
120,city7,state4
121,city3,state10
122,city9,state6
123,city4,state1
124,city3,state7
125,city1,state4
126,city10,state3
127,city6,state9
128,city2,state2
129,city2,state6
130,city7,state4
131,city7,state4
132,city8,state9
133,city10,state6
134,city3,state1
135,city2,state7
136,city10,state8
137,city9,state2
138,city9,state5
139,city8,state9
140,city7,state6
141,city4,state9
142,city1,state10
143,city6,state7
144,city7,state7
145,city7,state0
146,city10,state3
147,city3,state2
148,city6,state8
149,city2,state10
150,city4,state10
151,city0,state2
152,city5,state9
153,city6,state6
154,city4,state1
155,city2,state4
156,city10,state0
157,city1,state4
158,city1,state2
159,city0,state1
160,city3,state4
161,city6,state2
162,city7,state4
163,city0,state1
164,city2,state2
165,city2,state9
166,city7,state6
167,city10,state5
168,city0,state9
169,city5,state2
170,city6,state7
171,city7,state2
172,city10,state5
173,city4,state8
174,city2,state6
175,city6,state10
176,city10,state1
177,city7,state2
178,city8,state4
179,city1,state1
180,city4,state5
181,city1,state6
182,city1,state0
183,city6,state9
184,city7,state3
185,city4,state2
186,city1,state9
187,city1,state4
188,city4,state8
189,city4,state1
190,city4,state3
191,city8,state7
192,city9,state10
193,city2,state9
194,city6,state6
195,city2,state9
196,city3,state5
197,city1,state10
198,city0,state0
199,city9,state3
200,city1,state9
201,city3,state0
202,city9,state2
203,city10,state2
204,city7,state6
205,city2,state10
206,city10,state2
207,city4,state7
208,city0,state10
209,city7,state1
210,city8,state5
211,city0,state5
212,city6,state3
213,city6,state4
214,city3,state5
215,city2,state10
