sales_id,location_id,product_id,date_added,sales
0,6864,7414,1,1
1,3478,3655,3,4
2,7608,6100,5,7
3,2883,2475,7,10
4,3325,8667,9,3
5,4854,3292,11,3
6,5609,1327,13,5
7,4989,3627,15,7
8,8930,3208,17,4
9,3135,6210,19,9
10,1067,6151,21,0
11,3639,2170,23,0
12,3398,4337,25,6
13,1007,4371,27,8
14,899,2967,29,5
15,9453,7459,31,6
16,6794,1316,33,7
17,7359,7069,35,4
18,4657,7101,37,4
19,8582,4070,39,6
20,1456,1933,41,10
21,9148,7012,43,7
22,182,930,45,10
23,4845,112,47,10
24,5900,404,49,2
25,333,6816,51,9
26,5521,8574,53,10
27,7020,7570,55,8
28,4011,7116,57,2
29,5930,5130,59,8
30,6152,9271,61,9
31,5717,1878,63,4
32,6589,8261,65,4
33,1226,1019,67,5
34,1860,5497,69,8
35,9130,8914,71,6
36,3492,541,73,6
37,384,2129,75,5
38,2482,9465,77,7
39,4306,7970,79,2
40,9598,5708,81,10
41,637,3089,83,10
42,6513,5681,85,3
43,1519,1873,87,3
44,890,5134,89,4
45,879,6032,91,6
46,1125,6820,93,6
47,4298,2698,95,10
48,8926,9263,97,2
49,7322,7997,99,8
50,7208,1399,101,6
51,9540,8130,103,3
52,6377,2025,105,6
53,8030,1254,107,10
54,4429,4090,109,0
55,8641,5082,111,9
56,8670,5702,113,1
57,9560,7487,115,1
58,2983,5261,117,7
59,1522,6651,119,6
60,595,6420,121,1
61,1281,6412,123,1
62,9406,7548,125,1
63,1636,5087,127,2
64,1394,4013,129,2
65,8889,9551,131,5
66,9706,9061,133,3
67,2045,1187,135,3
68,6628,9975,137,7
69,7024,9455,139,4
70,6618,9727,141,1
71,3882,195,143,5
72,1806,4347,145,10
73,2095,3509,147,3
74,4693,416,149,1
75,9137,6762,151,2
76,3744,5534,153,2
77,4386,4237,155,4
78,7021,5784,157,4
79,2916,580,159,9
80,8249,6776,161,4
81,8297,6956,163,4
82,1721,9020,165,0
83,9265,7803,167,6
84,4572,6374,169,5
85,7934,7918,171,8
86,1419,5071,173,0
87,4542,9058,175,9
88,3711,189,177,5
89,7058,8016,179,8
90,4813,4570,181,5
91,7478,1378,183,3
92,1040,8741,185,8
93,8340,1644,187,0
94,3055,4581,189,3
95,2609,8440,191,8
96,5052,6882,193,4
97,531,8029,195,6
98,8780,9787,197,0
99,3127,818,199,8
100,1624,5913,201,2
101,9096,9753,203,2
102,198,5445,205,8
103,983,9135,207,7
104,3304,4263,209,6
105,6081,5372,211,4
106,5891,7748,213,7
107,3733,5619,215,0
108,1907,2170,217,1
109,7180,6917,219,3
110,5263,3069,221,10
111,8891,9412,223,6
112,8278,1437,225,10
113,1245,7717,227,10
114,8032,2493,229,6
115,6283,9879,231,0
116,6282,9079,233,8
117,6020,4344,235,10
118,6337,2482,237,9
119,5305,1356,239,6
120,6601,5920,241,9
121,6259,606,243,0
122,7477,4932,245,8
123,6244,4762,247,4
124,7175,8242,249,7
125,6439,4419,251,6
126,5784,8265,253,7
127,6439,4745,255,6
128,4067,267,257,4
129,295,666,259,0
130,7792,190,261,7
131,9308,7607,263,4
132,6982,5822,265,3
133,6854,4954,267,8
134,4200,8533,269,1
135,650,1719,271,6
136,8718,8668,273,0
137,6354,9216,275,4
138,6921,8437,277,5
139,82,2073,279,4
140,6041,8530,281,5
141,4003,1073,283,6
142,6310,4,285,6
143,1761,6227,287,1
144,8322,5927,289,3
145,5397,3319,291,6
146,8461,7939,293,0
147,5785,5770,295,6
148,114,6190,297,4
149,6930,424,299,0
150,3407,9695,301,6
151,2276,83,303,3
152,2060,5418,305,3
153,5931,6294,307,2
154,8964,1661,309,6
155,9154,510,311,0
156,4032,5533,313,5
157,8092,6482,315,7
158,8986,514,317,10
159,7700,8026,319,2
160,816,6011,321,5
161,8020,2184,323,2
162,4850,7489,325,4
163,6323,4581,327,3
164,6633,9303,329,8
165,739,1150,331,3
166,576,9788,333,9
167,375,3317,335,8
168,5073,836,337,3
169,4164,1112,339,2
170,1322,2808,341,2
171,9967,5195,343,7
172,2072,8477,345,3
173,5901,3813,347,7
174,1364,3429,349,4
175,2288,897,351,6
176,6078,3329,353,1
177,1252,5565,355,10
178,5393,4144,357,10
179,3892,8105,359,6
180,8063,807,361,5
181,9279,3893,363,4
182,6984,1608,365,9
183,5096,7442,367,1
184,1730,4741,369,3
185,6120,3088,371,6
186,5681,440,373,5
187,929,4980,375,4
188,528,8246,377,3
189,1890,6089,379,5
190,2201,1585,381,1
191,4117,488,383,3
192,6365,8423,385,9
193,2821,6584,387,1
194,4165,9409,389,0
195,6459,9547,391,3
196,6701,866,393,7
197,4227,2284,395,1
198,8016,6263,397,8
199,299,4503,399,8
200,3589,9725,401,8
201,3924,8004,403,1
202,865,4200,405,10
203,5034,683,407,5
204,1202,4321,409,4
205,9273,5724,411,10
