location_id,city,state
0,city1,state0
1,city2,state3
2,city5,state1
3,city7,state5
4,city9,state1
5,city10,state5
6,city0,state4
7,city0,state2
8,city2,state6
9,city7,state1
10,city4,state4
11,city8,state10
12,city8,state3
13,city5,state8
14,city7,state1
15,city5,state4
16,city2,state4
17,city7,state9
18,city0,state1
19,city6,state2
20,city0,state5
21,city10,state6
22,city6,state8
23,city9,state7
24,city4,state0
25,city3,state2
26,city6,state9
27,city7,state10
28,city10,state1
29,city0,state8
30,city1,state1
31,city6,state1
32,city3,state5
33,city0,state0
34,city6,state4
35,city0,state4
36,city7,state6
37,city6,state7
38,city4,state6
39,city2,state7
40,city6,state5
41,city1,state9
42,city7,state4
43,city6,state5
44,city4,state9
45,city0,state10
46,city3,state8
47,city1,state6
48,city4,state6
49,city9,state1
50,city5,state4
51,city4,state1
52,city10,state6
53,city1,state2
54,city2,state5
55,city2,state9
56,city9,state5
57,city6,state3
58,city1,state2
59,city9,state8
60,city6,state2
61,city7,state4
62,city10,state0
63,city1,state4
64,city2,state4
65,city7,state0
66,city2,state3
67,city9,state5
68,city9,state5
69,city2,state2
70,city7,state3
71,city0,state2
72,city4,state3
73,city1,state7
74,city6,state2
75,city5,state0
76,city6,state5
77,city9,state10
78,city7,state1
79,city3,state5
80,city5,state4
81,city2,state5
82,city8,state6
83,city7,state0
84,city2,state10
85,city2,state8
86,city0,state7
87,city10,state6
88,city3,state0
89,city3,state0
90,city4,state3
91,city2,state5
92,city9,state5
93,city9,state6
94,city8,state4
95,city7,state1
96,city5,state5
97,city3,state9
98,city7,state8
99,city4,state5
100,city10,state4
101,city7,state7
102,city8,state10
103,city5,state7
104,city10,state2
105,city6,state5
106,city0,state0
107,city10,state6
108,city3,state2
109,city5,state5
110,city2,state4
111,city6,state10
112,city2,state6
113,city10,state2
114,city7,state5
115,city5,state9
116,city2,state7
117,city7,state6
118,city5,state4
119,city0,state2
120,city9,state6
121,city2,state6
122,city7,state8
123,city0,state1
124,city9,state2
125,city2,state5
126,city7,state8
127,city3,state7
128,city9,state10
129,city8,state8
130,city0,state1
131,city5,state9
132,city2,state7
133,city8,state1
134,city3,state3
135,city3,state1
136,city6,state10
137,city0,state4
138,city0,state3
139,city5,state8
140,city0,state6
141,city3,state5
142,city9,state5
143,city4,state1
144,city9,state2
145,city3,state5
146,city5,state4
147,city8,state10
148,city6,state1
149,city7,state7
150,city1,state1
151,city0,state2
152,city6,state0
153,city4,state3
154,city3,state5
155,city4,state0
156,city8,state1
157,city10,state2
158,city10,state0
159,city0,state5
160,city5,state4
161,city6,state2
162,city10,state4
163,city6,state4
164,city2,state5
165,city4,state2
166,city1,state9
167,city6,state10
168,city2,state7
169,city5,state7
170,city7,state0
171,city2,state8
172,city8,state3
173,city10,state6
174,city10,state10
175,city9,state3
176,city8,state5
177,city0,state8
178,city8,state1
179,city4,state8
180,city7,state0
181,city5,state5
182,city1,state6
183,city6,state1
184,city0,state9
185,city9,state6
186,city2,state9
187,city0,state2
188,city8,state7
189,city8,state0
190,city9,state7
191,city3,state2
192,city6,state2
193,city4,state7
194,city6,state5
195,city0,state4
196,city3,state8
197,city3,state9
198,city4,state4
199,city8,state3
200,city7,state7
201,city1,state6
202,city6,state7
203,city10,state5
204,city7,state3
205,city2,state1
206,city1,state10
207,city9,state9
208,city9,state9
209,city3,state8
210,city4,state9
211,city6,state6
212,city0,state3
213,city6,state4
214,city2,state1
215,city4,state2
216,city9,state5
217,city6,state0
218,city5,state0
219,city0,state6
220,city1,state1
221,city2,state10
222,city7,state5
223,city7,state6
224,city8,state0
225,city3,state3
226,city3,state8
227,city1,state3
228,city7,state6
229,city6,state3
230,city8,state8
231,city5,state6
232,city8,state0
233,city0,state7
234,city2,state0
235,city0,state10
236,city7,state2
237,city1,state8
238,city10,state7
239,city1,state3
240,city2,state2
241,city7,state9
242,city1,state6
243,city5,state6
