product_id	location_id	measure	countOfDetailedCells	
8915	8207	1.0000	1	
7347	3337	2.0000	1	
5105	97	2.0000	1	
5494	6909	11.0000	1	
3475	1492	26.0000	1	
4034	8462	31.0000	1	
8864	8617	49.0000	1	
3421	552	50.0000	1	
8642	7467	60.0000	1	
3619	1004	62.0000	1	
2297	4359	72.0000	1	
5192	1187	81.0000	1	
4008	7007	82.0000	1	
2218	9362	124.0000	1	
5281	1365	145.0000	1	
215	274	147.0000	1	
7504	1234	172.0000	1	
6449	5297	177.0000	1	
2114	2057	182.0000	1	
1018	156	187.0000	1	
8910	8128	198.0000	1	
1168	6474	220.0000	1	
5984	3533	236.0000	1	
6291	6591	245.0000	1	
6060	7787	248.0000	1	
8710	8423	253.0000	1	
2233	9287	276.0000	1	
1117	2386	294.0000	1	
6344	4223	300.0000	1	
9686	7245	305.0000	1	
3875	2601	310.0000	1	
4992	8121	336.0000	1	
4058	677	343.0000	1	
598	6912	384.0000	1	
2826	6179	385.0000	1	
5204	3782	405.0000	1	
1719	1802	420.0000	1	
4812	3117	427.0000	1	
535	8646	432.0000	1	
2699	2716	436.0000	1	
2465	1922	447.0000	1	
5959	7884	458.0000	1	
6500	1788	459.0000	1	
2174	1957	461.0000	1	
5220	1019	506.0000	1	
6103	6546	516.0000	1	
4317	5836	543.0000	1	
3512	7033	574.0000	1	
9252	8502	583.0000	1	
5255	9729	599.0000	1	
3975	9955	604.0000	1	
6635	4248	618.0000	1	
6840	9593	619.0000	1	
8205	8789	619.0000	1	
5139	6094	635.0000	1	
8343	7048	639.0000	1	
8856	4868	663.0000	1	
4545	8244	687.0000	1	
1254	6017	690.0000	1	
1225	4216	706.0000	1	
7710	3470	724.0000	1	
2223	8822	735.0000	1	
65	1966	736.0000	1	
5968	1093	740.0000	1	
2217	9389	742.0000	1	
6958	5797	761.0000	1	
2662	790	791.0000	1	
8729	8770	797.0000	1	
4438	2285	806.0000	1	
8064	8976	818.0000	1	
9988	2986	846.0000	1	
1772	9958	847.0000	1	
1943	5261	851.0000	1	
1998	9352	855.0000	1	
2069	8290	862.0000	1	
2108	1012	898.0000	1	
8233	7642	899.0000	1	
4685	6087	910.0000	1	
6586	6045	913.0000	1	
5119	491	921.0000	1	
2577	686	952.0000	1	
9805	5292	990.0000	1	
8302	4162	995.0000	1	
2350	4555	1007.0000	1	
9053	4962	1009.0000	1	
365	8928	1012.0000	1	
5320	5398	1033.0000	1	
2395	6338	1041.0000	1	
9536	9559	1051.0000	1	
8673	4005	1053.0000	1	
7038	8697	1065.0000	1	
1253	9754	1071.0000	1	
6689	1936	1088.0000	1	
2619	4028	1096.0000	1	
2591	6541	1103.0000	1	
621	26	1112.0000	1	
8017	7818	1112.0000	1	
1164	4994	1126.0000	1	
8680	3211	1133.0000	1	
9469	4371	1134.0000	1	
9251	8455	1139.0000	1	
6908	7536	1143.0000	1	
2579	8353	1161.0000	1	
7906	8109	1166.0000	1	
9983	9810	1173.0000	1	
9333	4544	1174.0000	1	
807	1406	1192.0000	1	
607	5708	1196.0000	1	
1521	8713	1204.0000	1	
5252	8815	1208.0000	1	
9745	7112	1210.0000	1	
9875	5997	1218.0000	1	
4184	6969	1219.0000	1	
5233	6521	1244.0000	1	
2709	3646	1247.0000	1	
9814	5404	1255.0000	1	
8440	5120	1256.0000	1	
4956	5930	1264.0000	1	
7739	3285	1279.0000	1	
2236	7421	1301.0000	1	
5407	2611	1301.0000	1	
2195	629	1308.0000	1	
3336	1239	1311.0000	1	
9265	1257	1317.0000	1	
3026	6427	1342.0000	1	
1475	9769	1348.0000	1	
9908	7844	1360.0000	1	
5894	5687	1363.0000	1	
387	6375	1372.0000	1	
3155	3322	1393.0000	1	
730	6076	1393.0000	1	
5489	6274	1396.0000	1	
9327	9427	1412.0000	1	
8978	9795	1413.0000	1	
5188	2750	1416.0000	1	
4629	2214	1419.0000	1	
1372	2486	1421.0000	1	
3971	4493	1424.0000	1	
4945	2738	1460.0000	1	
3901	6479	1476.0000	1	
386	4975	1486.0000	1	
9146	2629	1487.0000	1	
3173	9714	1538.0000	1	
8189	4419	1558.0000	1	
9966	7022	1568.0000	1	
9367	6917	1570.0000	1	
4826	8891	1574.0000	1	
7325	5704	1590.0000	1	
8872	6497	1605.0000	1	
1097	7995	1610.0000	1	
5404	4945	1620.0000	1	
289	4385	1633.0000	1	
9603	6864	1634.0000	1	
554	7136	1639.0000	1	
1866	1520	1639.0000	1	
116	7982	1652.0000	1	
7881	2108	1693.0000	1	
5187	3045	1708.0000	1	
9045	7065	1717.0000	1	
560	5668	1722.0000	1	
8453	794	1746.0000	1	
925	366	1780.0000	1	
3586	1603	1786.0000	1	
4471	2845	1798.0000	1	
1491	5545	1802.0000	1	
3697	1493	1814.0000	1	
6039	6654	1838.0000	1	
16	8861	1866.0000	1	
8574	1116	1872.0000	1	
290	8105	1887.0000	1	
7558	316	1930.0000	1	
3978	5952	1942.0000	1	
2177	2041	1968.0000	1	
6691	9555	1999.0000	1	
8195	3516	2061.0000	1	
62	5320	2068.0000	1	
8679	1227	2095.0000	1	
2133	7354	2099.0000	1	
3553	1399	2110.0000	1	
6102	4851	2159.0000	1	
566	3083	2161.0000	1	
8678	3121	2164.0000	1	
5000	3955	2175.0000	1	
7492	7393	2194.0000	1	
4227	7015	2208.0000	1	
9975	9444	2215.0000	1	
599	1838	2219.0000	1	
9608	6926	2222.0000	1	
2762	9569	2232.0000	1	
3987	1241	2235.0000	1	
4858	1103	2257.0000	1	
1788	6226	2259.0000	1	
6110	6577	2269.0000	1	
791	4060	2285.0000	1	
2128	8615	2289.0000	1	
71	3385	2290.0000	1	
7025	9496	2295.0000	1	
8382	8635	2296.0000	1	
3053	437	2304.0000	1	
3935	412	2313.0000	1	
223	5167	2342.0000	1	
5187	9450	2365.0000	1	
2264	2105	2372.0000	1	
5293	7538	2383.0000	1	
760	6895	2385.0000	1	
9758	8784	2391.0000	1	
7459	1246	2429.0000	1	
6244	8135	2454.0000	1	
7007	1087	2454.0000	1	
5133	3800	2461.0000	1	
4363	2232	2463.0000	1	
2877	8357	2464.0000	1	
6282	2206	2468.0000	1	
7405	5667	2477.0000	1	
5015	7839	2477.0000	1	
9594	4215	2489.0000	1	
9274	5143	2495.0000	1	
5391	9501	2496.0000	1	
2148	6779	2519.0000	1	
8494	97	2537.0000	1	
8410	8382	2540.0000	1	
4188	9919	2555.0000	1	
2120	1457	2576.0000	1	
3026	7225	2592.0000	1	
1044	2449	2617.0000	1	
8739	4957	2633.0000	1	
1915	3724	2642.0000	1	
1444	458	2643.0000	1	
6464	706	2650.0000	1	
7932	2187	2652.0000	1	
17	5574	2656.0000	1	
9006	7975	2657.0000	1	
9531	581	2693.0000	1	
7554	4864	2699.0000	1	
2638	5110	2703.0000	1	
7223	4655	2708.0000	1	
6715	5118	2727.0000	1	
6615	2554	2747.0000	1	
5127	5435	2749.0000	1	
2404	807	2753.0000	1	
8928	2750	2760.0000	1	
9167	2558	2765.0000	1	
1580	9739	2781.0000	1	
5582	3639	2797.0000	1	
7260	6590	2809.0000	1	
9552	5218	2828.0000	1	
9601	9964	2838.0000	1	
6432	902	2845.0000	1	
9849	484	2851.0000	1	
1847	2425	2853.0000	1	
4581	8749	2861.0000	1	
1658	7484	2868.0000	1	
1230	5292	2868.0000	1	
7325	8889	2880.0000	1	
739	614	2894.0000	1	
1077	1173	2897.0000	1	
2612	1708	2909.0000	1	
1149	1133	2930.0000	1	
93	1978	2932.0000	1	
8642	1255	2939.0000	1	
1005	6991	2943.0000	1	
5423	680	2945.0000	1	
9772	5122	2950.0000	1	
9190	2632	2968.0000	1	
7421	6347	2970.0000	1	
2855	3094	2980.0000	1	
4207	1779	3011.0000	1	
273	5732	3020.0000	1	
9507	9242	3031.0000	1	
4329	2338	3038.0000	1	
6795	2668	3040.0000	1	
3042	8251	3082.0000	1	
8081	905	3082.0000	1	
2566	6695	3098.0000	1	
4536	5624	3103.0000	1	
9392	3653	3105.0000	1	
5941	4167	3116.0000	1	
17	7330	3123.0000	1	
736	7481	3136.0000	1	
5103	5471	3141.0000	1	
9729	6329	3145.0000	1	
9205	6944	3160.0000	1	
3088	9474	3181.0000	1	
6053	357	3187.0000	1	
8948	5866	3187.0000	1	
1337	9543	3188.0000	1	
6751	8797	3197.0000	1	
2903	5497	3197.0000	1	
8449	1142	3202.0000	1	
7093	2037	3203.0000	1	
7354	5143	3218.0000	1	
5693	1168	3221.0000	1	
4381	3989	3227.0000	1	
2114	9221	3230.0000	1	
9060	9289	3231.0000	1	
1201	4057	3258.0000	1	
1993	8880	3267.0000	1	
9861	1718	3274.0000	1	
7929	6644	3277.0000	1	
2962	3097	3277.0000	1	
6609	6783	3278.0000	1	
8241	6972	3297.0000	1	
6234	9429	3310.0000	1	
857	8963	3328.0000	1	
7952	8561	3332.0000	1	
78	508	3351.0000	1	
8469	4184	3361.0000	1	
4052	460	3369.0000	1	
4832	6940	3375.0000	1	
9669	4118	3381.0000	1	
5053	1399	3417.0000	1	
1400	7898	3427.0000	1	
7137	9191	3453.0000	1	
2826	6137	3482.0000	1	
9076	4325	3482.0000	1	
3137	5853	3486.0000	1	
6133	326	3491.0000	1	
7675	5644	3495.0000	1	
3997	756	3516.0000	1	
7023	1259	3517.0000	1	
5812	9527	3519.0000	1	
6860	6005	3550.0000	1	
9458	7822	3550.0000	1	
1555	3729	3569.0000	1	
9853	6960	3575.0000	1	
1130	9880	3580.0000	1	
574	2306	3596.0000	1	
9586	7088	3599.0000	1	
2864	9403	3603.0000	1	
9871	5993	3612.0000	1	
1407	460	3618.0000	1	
6583	219	3623.0000	1	
3615	4410	3626.0000	1	
8754	4103	3634.0000	1	
8770	9798	3638.0000	1	
4876	8820	3640.0000	1	
9492	7164	3648.0000	1	
8258	9475	3651.0000	1	
3128	5310	3654.0000	1	
6050	6631	3665.0000	1	
2235	1230	3671.0000	1	
4504	9783	3679.0000	1	
5362	7044	3686.0000	1	
3012	2344	3726.0000	1	
6565	61	3728.0000	1	
9708	3647	3730.0000	1	
845	8802	3740.0000	1	
9591	6417	3761.0000	1	
5402	8138	3767.0000	1	
1390	8056	3774.0000	1	
9237	7612	3791.0000	1	
9434	8551	3817.0000	1	
1974	4218	3818.0000	1	
1232	8751	3862.0000	1	
9848	3767	3869.0000	1	
8568	4148	3895.0000	1	
9510	3016	3914.0000	1	
7079	9970	3924.0000	1	
4382	4917	3938.0000	1	
1266	2212	3944.0000	1	
9235	9375	3946.0000	1	
2555	9760	3947.0000	1	
1533	7765	3960.0000	1	
1713	6710	3989.0000	1	
2281	794	4000.0000	1	
2550	645	4002.0000	1	
7898	2168	4014.0000	1	
1532	1615	4036.0000	1	
3016	6276	4058.0000	1	
4570	8838	4073.0000	1	
8166	7141	4086.0000	1	
5322	6329	4089.0000	1	
7984	2849	4093.0000	1	
2958	1827	4140.0000	1	
2010	1012	4145.0000	1	
9918	7226	4147.0000	1	
4827	1957	4149.0000	1	
8192	6153	4167.0000	1	
9044	9867	4170.0000	1	
9486	450	4183.0000	1	
3315	3078	4189.0000	1	
3978	6771	4206.0000	1	
7031	363	4213.0000	1	
4716	1296	4217.0000	1	
7772	911	4225.0000	1	
245	343	4230.0000	1	
713	809	4232.0000	1	
3407	9330	4241.0000	1	
7849	6478	4254.0000	1	
5349	4567	4260.0000	1	
2542	2338	4276.0000	1	
402	3957	4283.0000	1	
2350	4764	4290.0000	1	
3104	8705	4292.0000	1	
656	4372	4292.0000	1	
8725	5107	4294.0000	1	
7325	3242	4317.0000	1	
9058	3899	4321.0000	1	
6617	2466	4329.0000	1	
4459	7779	4366.0000	1	
8398	4006	4373.0000	1	
7662	3428	4377.0000	1	
5934	8035	4382.0000	1	
5686	7094	4384.0000	1	
8527	1005	4432.0000	1	
6542	1949	4437.0000	1	
294	7012	4439.0000	1	
4929	3297	4469.0000	1	
1844	4214	4487.0000	1	
899	1495	4491.0000	1	
6491	4050	4500.0000	1	
1951	5071	4508.0000	1	
6493	5850	4511.0000	1	
538	305	4514.0000	1	
9767	4680	4568.0000	1	
8071	9333	4584.0000	1	
6095	4746	4593.0000	1	
3692	8954	4603.0000	1	
1465	7168	4628.0000	1	
7398	3448	4629.0000	1	
1011	8744	4645.0000	1	
1300	9911	4657.0000	1	
311	6843	4661.0000	1	
3496	7364	4672.0000	1	
1629	4099	4676.0000	1	
2339	255	4686.0000	1	
7172	7205	4697.0000	1	
7028	229	4709.0000	1	
6597	7232	4718.0000	1	
9115	7519	4718.0000	1	
6808	5162	4720.0000	1	
4378	5900	4726.0000	1	
206	6122	4734.0000	1	
2236	1807	4735.0000	1	
2941	1478	4743.0000	1	
8226	8571	4751.0000	1	
719	3521	4751.0000	1	
2783	7921	4757.0000	1	
9603	3691	4768.0000	1	
384	3698	4771.0000	1	
996	9276	4795.0000	1	
4090	1397	4798.0000	1	
8629	5044	4799.0000	1	
7764	793	4802.0000	1	
7128	3983	4802.0000	1	
375	4196	4803.0000	1	
5222	1000	4806.0000	1	
9721	9430	4821.0000	1	
7794	8113	4840.0000	1	
2131	696	4850.0000	1	
6833	8226	4885.0000	1	
510	9854	4904.0000	1	
9980	8300	4905.0000	1	
6062	1564	4921.0000	1	
3607	2056	4930.0000	1	
3431	7782	4941.0000	1	
3626	9371	4956.0000	1	
8706	3391	4990.0000	1	
210	4519	4992.0000	1	
